"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8758","Compra finalizada com Bank Transfer","e2e_tests.step_defs","Mon Jan 19 08:20:12 UTC 2026","passed","Mon Jan 19 08:20:21 UTC 2026","","test_checkout_steps","",""
"","752","Não deve criar usuário duplicado","api-tests.tests","Mon Jan 19 08:21:53 UTC 2026","passed","Mon Jan 19 08:21:54 UTC 2026","TestUsersAPI","test_users","",""
"","350","Não deve retornar usuário inexistente","api-tests.tests","Mon Jan 19 08:21:51 UTC 2026","passed","Mon Jan 19 08:21:52 UTC 2026","TestUsersAPI","test_users","",""
"","307","Não deve permitir criação sem autenticação","api-tests.tests","Mon Jan 19 08:21:54 UTC 2026","passed","Mon Jan 19 08:21:54 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8832","Compra finalizada com Credit Card","e2e_tests.step_defs","Mon Jan 19 08:21:05 UTC 2026","passed","Mon Jan 19 08:21:14 UTC 2026","","test_checkout_steps","",""
"","693","Não deve permitir remoção sem autenticação","api-tests.tests","Mon Jan 19 08:21:57 UTC 2026","passed","Mon Jan 19 08:21:58 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8737","Compra finalizada com Buy Now Pay Later","e2e_tests.step_defs","Mon Jan 19 08:21:22 UTC 2026","passed","Mon Jan 19 08:21:31 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","8913","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:21:31 UTC 2026","passed","Mon Jan 19 08:21:40 UTC 2026","","test_checkout_steps","",""
"","758","Deve atualizar um usuário existente","api-tests.tests","Mon Jan 19 08:21:54 UTC 2026","passed","Mon Jan 19 08:21:55 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8771","Compra finalizada com Cash on Delivery","e2e_tests.step_defs","Mon Jan 19 08:20:48 UTC 2026","passed","Mon Jan 19 08:20:57 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","7901","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:21:14 UTC 2026","passed","Mon Jan 19 08:21:22 UTC 2026","","test_checkout_steps","",""
"","355","Não deve atualizar usuário inexistente","api-tests.tests","Mon Jan 19 08:21:55 UTC 2026","passed","Mon Jan 19 08:21:55 UTC 2026","TestUsersAPI","test_users","",""
"","726","Deve buscar um usuário existente com sucesso","api-tests.tests","Mon Jan 19 08:21:50 UTC 2026","passed","Mon Jan 19 08:21:51 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com email inválido","1706","Tentativa de login com email inválido","e2e_tests.step_defs","Mon Jan 19 08:20:37 UTC 2026","passed","Mon Jan 19 08:20:39 UTC 2026","","test_login_steps","",""
"","682","Não deve permitir atualização sem autenticação","api-tests.tests","Mon Jan 19 08:21:55 UTC 2026","passed","Mon Jan 19 08:21:56 UTC 2026","TestUsersAPI","test_users","",""
"","340","Não deve remover usuário inexistente","api-tests.tests","Mon Jan 19 08:21:57 UTC 2026","passed","Mon Jan 19 08:21:57 UTC 2026","TestUsersAPI","test_users","",""
"","379","Deve criar um novo usuário com sucesso","api-tests.tests","Mon Jan 19 08:21:52 UTC 2026","passed","Mon Jan 19 08:21:52 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Login com credenciais válidas","5901","Login com credenciais válidas","e2e_tests.step_defs","Mon Jan 19 08:20:29 UTC 2026","skipped","Mon Jan 19 08:20:35 UTC 2026","","test_login_steps","",""
"","308","Não deve criar usuário com JSON malformado","api-tests.tests","Mon Jan 19 08:21:53 UTC 2026","passed","Mon Jan 19 08:21:53 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com senha inválida","1710","Tentativa de login com senha inválida","e2e_tests.step_defs","Mon Jan 19 08:20:35 UTC 2026","passed","Mon Jan 19 08:20:37 UTC 2026","","test_login_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8820","Compra finalizada com Gift Card","e2e_tests.step_defs","Mon Jan 19 08:21:40 UTC 2026","passed","Mon Jan 19 08:21:49 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","11025","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 08:20:01 UTC 2026","passed","Mon Jan 19 08:20:12 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","7918","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:20:21 UTC 2026","passed","Mon Jan 19 08:20:29 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","8576","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 08:20:40 UTC 2026","passed","Mon Jan 19 08:20:48 UTC 2026","","test_checkout_steps","",""
"","784","Deve remover um usuário existente","api-tests.tests","Mon Jan 19 08:21:56 UTC 2026","passed","Mon Jan 19 08:21:57 UTC 2026","TestUsersAPI","test_users","",""
"","367","Não deve criar usuário com email inválido","api-tests.tests","Mon Jan 19 08:21:52 UTC 2026","passed","Mon Jan 19 08:21:52 UTC 2026","TestUsersAPI","test_users","",""
"","1372","Deve listar todos os usuários com sucesso","api-tests.tests","Mon Jan 19 08:21:49 UTC 2026","passed","Mon Jan 19 08:21:50 UTC 2026","TestUsersAPI","test_users","",""
"","352","Não deve criar usuário sem campos obrigatórios","api-tests.tests","Mon Jan 19 08:21:52 UTC 2026","passed","Mon Jan 19 08:21:53 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login sem preencher campos","874","Tentativa de login sem preencher campos","e2e_tests.step_defs","Mon Jan 19 08:20:39 UTC 2026","passed","Mon Jan 19 08:20:40 UTC 2026","","test_login_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","7854","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:20:57 UTC 2026","passed","Mon Jan 19 08:21:05 UTC 2026","","test_checkout_steps","",""
