"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","739","Deve atualizar um usuário existente","api-tests.tests","Thu Jan 22 21:04:36 UTC 2026","passed","Thu Jan 22 21:04:37 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","11546","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Thu Jan 22 21:02:16 UTC 2026","passed","Thu Jan 22 21:02:28 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","12591","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Thu Jan 22 21:03:14 UTC 2026","passed","Thu Jan 22 21:03:26 UTC 2026","","test_checkout_steps","",""
"","352","Não deve criar usuário com email inválido","api-tests.tests","Thu Jan 22 21:04:34 UTC 2026","passed","Thu Jan 22 21:04:35 UTC 2026","TestUsersAPI","test_users","",""
"","1264","Deve listar todos os usuários com sucesso","api-tests.tests","Thu Jan 22 21:04:32 UTC 2026","passed","Thu Jan 22 21:04:33 UTC 2026","TestUsersAPI","test_users","",""
"","662","Não deve permitir remoção sem autenticação","api-tests.tests","Thu Jan 22 21:04:39 UTC 2026","passed","Thu Jan 22 21:04:40 UTC 2026","TestUsersAPI","test_users","",""
"","713","Deve buscar um usuário existente com sucesso","api-tests.tests","Thu Jan 22 21:04:33 UTC 2026","passed","Thu Jan 22 21:04:34 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login sem preencher campos","3682","Tentativa de login sem preencher campos","e2e_tests.step_defs","Thu Jan 22 21:02:42 UTC 2026","passed","Thu Jan 22 21:02:45 UTC 2026","","test_login_steps","",""
"","295","Não deve criar usuário com JSON malformado","api-tests.tests","Thu Jan 22 21:04:35 UTC 2026","passed","Thu Jan 22 21:04:35 UTC 2026","TestUsersAPI","test_users","",""
"","370","Deve criar um novo usuário com sucesso","api-tests.tests","Thu Jan 22 21:04:34 UTC 2026","passed","Thu Jan 22 21:04:34 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","13452","Compra finalizada com Buy Now Pay Later","e2e_tests.step_defs","Thu Jan 22 21:03:52 UTC 2026","passed","Thu Jan 22 21:04:05 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com senha inválida","3494","Tentativa de login com senha inválida","e2e_tests.step_defs","Thu Jan 22 21:02:35 UTC 2026","passed","Thu Jan 22 21:02:38 UTC 2026","","test_login_steps","",""
"","294","Não deve permitir criação sem autenticação","api-tests.tests","Thu Jan 22 21:04:36 UTC 2026","passed","Thu Jan 22 21:04:36 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","14453","Compra finalizada com Cash on Delivery","e2e_tests.step_defs","Thu Jan 22 21:02:59 UTC 2026","passed","Thu Jan 22 21:03:14 UTC 2026","","test_checkout_steps","",""
"","718","Não deve criar usuário duplicado","api-tests.tests","Thu Jan 22 21:04:35 UTC 2026","passed","Thu Jan 22 21:04:36 UTC 2026","TestUsersAPI","test_users","",""
"","334","Não deve remover usuário inexistente","api-tests.tests","Thu Jan 22 21:04:39 UTC 2026","passed","Thu Jan 22 21:04:39 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","13464","Compra finalizada com Credit Card","e2e_tests.step_defs","Thu Jan 22 21:03:26 UTC 2026","passed","Thu Jan 22 21:03:40 UTC 2026","","test_checkout_steps","",""
"","753","Deve remover um usuário existente","api-tests.tests","Thu Jan 22 21:04:38 UTC 2026","passed","Thu Jan 22 21:04:39 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","12625","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Thu Jan 22 21:04:05 UTC 2026","passed","Thu Jan 22 21:04:18 UTC 2026","","test_checkout_steps","",""
"","657","Não deve permitir atualização sem autenticação","api-tests.tests","Thu Jan 22 21:04:37 UTC 2026","passed","Thu Jan 22 21:04:38 UTC 2026","TestUsersAPI","test_users","",""
"","332","Não deve retornar usuário inexistente","api-tests.tests","Thu Jan 22 21:04:34 UTC 2026","passed","Thu Jan 22 21:04:34 UTC 2026","TestUsersAPI","test_users","",""
