"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","752","Deve buscar um usuário existente com sucesso","api-tests.tests","Mon Jan 19 09:25:33 UTC 2026","passed","Mon Jan 19 09:25:33 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8817","Compra finalizada com Buy Now Pay Later","e2e_tests.step_defs","Mon Jan 19 09:25:05 UTC 2026","passed","Mon Jan 19 09:25:13 UTC 2026","","test_checkout_steps","",""
"","355","Não deve remover usuário inexistente","api-tests.tests","Mon Jan 19 09:25:39 UTC 2026","passed","Mon Jan 19 09:25:39 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login sem preencher campos","879","Tentativa de login sem preencher campos","e2e_tests.step_defs","Mon Jan 19 09:24:20 UTC 2026","passed","Mon Jan 19 09:24:21 UTC 2026","","test_login_steps","",""
"","758","Não deve criar usuário duplicado","api-tests.tests","Mon Jan 19 09:25:35 UTC 2026","passed","Mon Jan 19 09:25:36 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","7849","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 09:24:02 UTC 2026","passed","Mon Jan 19 09:24:10 UTC 2026","","test_checkout_steps","",""
"","711","Não deve permitir remoção sem autenticação","api-tests.tests","Mon Jan 19 09:25:39 UTC 2026","passed","Mon Jan 19 09:25:40 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","8788","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 09:23:45 UTC 2026","passed","Mon Jan 19 09:23:53 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","7850","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 09:25:14 UTC 2026","passed","Mon Jan 19 09:25:21 UTC 2026","","test_checkout_steps","",""
"","1397","Deve listar todos os usuários com sucesso","api-tests.tests","Mon Jan 19 09:25:31 UTC 2026","passed","Mon Jan 19 09:25:33 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8760","Compra finalizada com Cash on Delivery","e2e_tests.step_defs","Mon Jan 19 09:24:31 UTC 2026","passed","Mon Jan 19 09:24:40 UTC 2026","","test_checkout_steps","",""
"","306","Não deve criar usuário com JSON malformado","api-tests.tests","Mon Jan 19 09:25:35 UTC 2026","passed","Mon Jan 19 09:25:35 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com senha inválida","1700","Tentativa de login com senha inválida","e2e_tests.step_defs","Mon Jan 19 09:24:16 UTC 2026","passed","Mon Jan 19 09:24:18 UTC 2026","","test_login_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8740","Compra finalizada com Credit Card","e2e_tests.step_defs","Mon Jan 19 09:24:48 UTC 2026","passed","Mon Jan 19 09:24:56 UTC 2026","","test_checkout_steps","",""
"","389","Deve criar um novo usuário com sucesso","api-tests.tests","Mon Jan 19 09:25:34 UTC 2026","passed","Mon Jan 19 09:25:34 UTC 2026","TestUsersAPI","test_users","",""
"","761","Deve atualizar um usuário existente","api-tests.tests","Mon Jan 19 09:25:36 UTC 2026","passed","Mon Jan 19 09:25:37 UTC 2026","TestUsersAPI","test_users","",""
"","775","Deve remover um usuário existente","api-tests.tests","Mon Jan 19 09:25:38 UTC 2026","passed","Mon Jan 19 09:25:39 UTC 2026","TestUsersAPI","test_users","",""
"","368","Não deve criar usuário com email inválido","api-tests.tests","Mon Jan 19 09:25:34 UTC 2026","passed","Mon Jan 19 09:25:35 UTC 2026","TestUsersAPI","test_users","",""
"","349","Não deve atualizar usuário inexistente","api-tests.tests","Mon Jan 19 09:25:37 UTC 2026","passed","Mon Jan 19 09:25:37 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","9739","Compra finalizada com Gift Card","e2e_tests.step_defs","Mon Jan 19 09:25:21 UTC 2026","passed","Mon Jan 19 09:25:31 UTC 2026","","test_checkout_steps","",""
"","696","Não deve permitir atualização sem autenticação","api-tests.tests","Mon Jan 19 09:25:37 UTC 2026","passed","Mon Jan 19 09:25:38 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","7858","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 09:24:40 UTC 2026","passed","Mon Jan 19 09:24:48 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","7838","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 09:24:57 UTC 2026","passed","Mon Jan 19 09:25:04 UTC 2026","","test_checkout_steps","",""
"","309","Não deve permitir criação sem autenticação","api-tests.tests","Mon Jan 19 09:25:36 UTC 2026","passed","Mon Jan 19 09:25:36 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","9561","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 09:24:21 UTC 2026","passed","Mon Jan 19 09:24:31 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Login com credenciais válidas","5841","Login com credenciais válidas","e2e_tests.step_defs","Mon Jan 19 09:24:10 UTC 2026","skipped","Mon Jan 19 09:24:16 UTC 2026","","test_login_steps","",""
"","354","Não deve criar usuário sem campos obrigatórios","api-tests.tests","Mon Jan 19 09:25:35 UTC 2026","passed","Mon Jan 19 09:25:35 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com email inválido","1780","Tentativa de login com email inválido","e2e_tests.step_defs","Mon Jan 19 09:24:18 UTC 2026","passed","Mon Jan 19 09:24:20 UTC 2026","","test_login_steps","",""
"","350","Não deve retornar usuário inexistente","api-tests.tests","Mon Jan 19 09:25:33 UTC 2026","passed","Mon Jan 19 09:25:34 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","8779","Compra finalizada com Bank Transfer","e2e_tests.step_defs","Mon Jan 19 09:23:54 UTC 2026","passed","Mon Jan 19 09:24:02 UTC 2026","","test_checkout_steps","",""
