"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","790","Deve buscar um usuário existente com sucesso","api-tests.tests","Mon Jan 19 08:38:17 UTC 2026","passed","Mon Jan 19 08:38:18 UTC 2026","TestUsersAPI","test_users","",""
"","375","Não deve retornar usuário inexistente","api-tests.tests","Mon Jan 19 08:38:18 UTC 2026","passed","Mon Jan 19 08:38:19 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","9470","Compra finalizada com Cash on Delivery","e2e_tests.step_defs","Mon Jan 19 08:37:10 UTC 2026","passed","Mon Jan 19 08:37:20 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","8580","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:37:39 UTC 2026","passed","Mon Jan 19 08:37:47 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login com email inválido","1724","Tentativa de login com email inválido","e2e_tests.step_defs","Mon Jan 19 08:36:57 UTC 2026","passed","Mon Jan 19 08:36:59 UTC 2026","","test_login_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","10575","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 08:36:18 UTC 2026","passed","Mon Jan 19 08:36:29 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Login com credenciais válidas","7071","Login com credenciais válidas","e2e_tests.step_defs","Mon Jan 19 08:36:47 UTC 2026","skipped","Mon Jan 19 08:36:54 UTC 2026","","test_login_steps","",""
"","372","Não deve remover usuário inexistente","api-tests.tests","Mon Jan 19 08:38:24 UTC 2026","passed","Mon Jan 19 08:38:24 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","9421","Compra finalizada com Gift Card","e2e_tests.step_defs","Mon Jan 19 08:38:06 UTC 2026","passed","Mon Jan 19 08:38:16 UTC 2026","","test_checkout_steps","",""
"","409","Deve criar um novo usuário com sucesso","api-tests.tests","Mon Jan 19 08:38:19 UTC 2026","passed","Mon Jan 19 08:38:19 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra de um único produto","9946","Compra de um único produto","e2e_tests.step_defs","Mon Jan 19 08:37:00 UTC 2026","passed","Mon Jan 19 08:37:10 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Compra finalizada com <type>","9370","Compra finalizada com Buy Now Pay Later","e2e_tests.step_defs","Mon Jan 19 08:37:47 UTC 2026","passed","Mon Jan 19 08:37:57 UTC 2026","","test_checkout_steps","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/login.feature: Tentativa de login sem preencher campos","811","Tentativa de login sem preencher campos","e2e_tests.step_defs","Mon Jan 19 08:36:59 UTC 2026","passed","Mon Jan 19 08:37:00 UTC 2026","","test_login_steps","",""
"","374","Não deve criar usuário sem campos obrigatórios","api-tests.tests","Mon Jan 19 08:38:19 UTC 2026","passed","Mon Jan 19 08:38:20 UTC 2026","TestUsersAPI","test_users","",""
"/home/runner/work/playwright-tests-api-e2e/playwright-tests-api-e2e/e2e_tests/features/checkout.feature: Tentativa de compra com Bank Transfer com dados inválidos","9607","Tentativa de compra com Bank Transfer com dados inválidos","e2e_tests.step_defs","Mon Jan 19 08:37:57 UTC 2026","passed","Mon Jan 19 08:38:06 UTC 2026","","test_checkout_steps","",""
"","739","Não deve permitir atualização sem autenticação","api-tests.tests","Mon Jan 19 08:38:22 UTC 2026","passed","Mon Jan 19 08:38:23 UTC 2026","TestUsersAPI","test_users","",""
"","328","Não deve permitir criação sem autenticação","api-tests.tests","Mon Jan 19 08:38:21 UTC 2026","passed","Mon Jan 19 08:38:21 UTC 2026","TestUsersAPI","test_users","",""
"","735","Não deve permitir remoção sem autenticação","api-tests.tests","Mon Jan 19 08:38:24 UTC 2026","passed","Mon Jan 19 08:38:25 UTC 2026","TestUsersAPI","test_users","",""
